# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	577
#@/user_id	bf0c8134-52bc-4b1c-a9df-bd5224475e73
bu gou 	不夠	c=0 d=0.1 t=577
bu gua 	不掛	c=2 d=0.12938 t=577
bu guo 	不過	c=7 d=1.12124 t=577
bu guo lai 	不過來	c=0 d=0.1 t=577
bu hao yi si 	不好意思	c=2 d=0.79364 t=577
bu hao yong 	不好用	c=1 d=0.677057 t=577
bu hui 	不會	c=1 d=0.0174224 t=577
bu jian 	不見	c=1 d=0.00609675 t=577
bu jin ru ci 	不僅如此	c=1 d=1 t=577
bu jiu 	不久	c=1 d=1 t=577
bu jun 	不均	c=1 d=0.0335406 t=577
bu kai 	不開	c=0 d=0.1 t=577
bu li 	不利	c=0 d=0.1 t=577
bu liao 	不了	c=1 d=1 t=577
bu luo 	部落	c=3 d=1.9458 t=577
bu luo chong tu 	部落衝突	c=1 d=0.000685748 t=577
bu mai 	不買	c=1 d=0.527292 t=577
bu neng 	不能	c=1 d=0.332871 t=577
bu pei 	不配	c=1 d=1 t=501
bu qing chu 	不清楚	c=1 d=0.0715596 t=577
bu quan 	補全	c=9 d=0.0597632 t=577
bu shi 	不是	c=19 d=2.88937 t=577
bu shi wo shuo 	不是我說	c=2 d=1.28508 t=577
bu shou yu 	不授予	c=1 d=0.00153381 t=577
bu shuang 	不爽	c=1 d=0.00366107 t=577
bu shuo 	不說	c=5 d=0.0751115 t=577
bu suan 	不算	c=1 d=1 t=577
bu tai 	不太	c=1 d=0.201897 t=577
bu tai bi yao 	不太必要	c=1 d=0.0780817 t=577
bu tai qing chu 	不太清楚	c=1 d=1 t=344
bu tong 	不同	c=2 d=0.895834 t=577
bu xiang 	不想	c=1 d=1 t=391
bu xing 	不興	c=1 d=0.000228266 t=577
bu xing le 	不行了	c=2 d=1.18364 t=577
bu xu 	不許	c=0 d=0.0516851 t=577
bu xu a yao 	不許啊喲	c=1 d=0.519442 t=577
bu xu yao 	不需要	c=2 d=0.522046 t=577
bu yao 	不要	c=4 d=1.2535 t=577
bu yi 	不宜	c=1 d=3.32984e-05 t=577
bu ying gai 	不應該	c=1 d=0.215456 t=577
bu yong 	不用	c=2 d=0.733447 t=577
bu yuan chu 	不遠處	c=1 d=2.13384e-05 t=577
bu zai hu 	不在乎	c=1 d=0.000415927 t=577
bu zen me 	不怎麼	c=3 d=0.558005 t=577
bu zhan 	不佔	c=1 d=0.0017555 t=577
bu zhan 	不沾	c=1 d=1 t=577
bu zhi 	不止	c=1 d=0.2334 t=577
bu zhi chi 	不支持	c=2 d=0.145876 t=577
bu zhi dao 	不知道	c=12 d=1.11559 t=577
bu zhou 	步驟	c=1 d=1 t=378
bu zhuang 	不裝	c=1 d=0.32628 t=577
bu zhuo 	捕捉	c=1 d=1 t=577
bu zi zhi 	不自知	c=1 d=0.00251621 t=577
ca bian qiu 	擦邊球	c=1 d=0.0127784 t=577
cai 	才	c=3 d=0.683861 t=577
cai 	菜	c=1 d=1 t=577
cai 	踩	c=1 d=1 t=577
cai di 	菜地	c=1 d=1 t=577
cai dui 	纔對	c=1 d=0.65377 t=577
cai hao 	纔好	c=1 d=1 t=577
cai neng 	才能	c=6 d=0.863882 t=577
cai shi 	纔是	c=2 d=0.0361528 t=577
cai xiang 	猜想	c=1 d=1 t=577
cai xing 	才行	c=1 d=1 t=411
cai you 	纔有	c=4 d=0.965605 t=577
cai zheng 	財政	c=1 d=9.14242e-05 t=577
cai zi 	才子	c=1 d=0.0031354 t=577
can ren 	殘忍	c=1 d=0.00259284 t=577
can shu 	參數	c=4 d=0.259474 t=577
cang zhe 	藏着	c=1 d=0.000285862 t=577
cao jun 	曹軍	c=0 d=0.00256042 t=577
cao zuo 	操作	c=1 d=0.00467746 t=577
ce lve 	策略	c=2 d=0.0394846 t=577
ce shi 	測試	c=1 d=4.2756e-05 t=577
ceng 	層	c=1 d=0.0555762 t=577
cha 	差	c=3 d=1.01833 t=577
cha 	插	c=1 d=0.955997 t=577
cha ba 	插拔	c=1 d=1 t=577
cha bie 	差別	c=1 d=0.759572 t=577
cha dao 	查到	c=1 d=1 t=577
cha fen 	查分	c=1 d=1.35381e-05 t=577
cha jian 	插件	c=2 d=0.99005 t=577
cha ju 	差距	c=4 d=0.831532 t=577
cha kan 	查看	c=3 d=0.0765945 t=577
cha xun 	查詢	c=1 d=0.000528747 t=577
cha zhao 	查找	c=1 d=0.612626 t=577
chan sheng 	產生	c=1 d=1.33366e-05 t=577
chang 	場	c=1 d=0.106992 t=577
chang 	常	c=1 d=0.000262568 t=577
chang 	廠	c=1 d=0.540641 t=577
chang 	長	c=3 d=0.0982756 t=577
chang du 	長度	c=1 d=9.00631e-05 t=577
chang fan 	長番	c=1 d=0.0987662 t=577
chang lian jie 	長鏈接	c=1 d=2.08116e-05 t=577
chang mian 	長眠	c=1 d=1 t=577
chang xian 	長線	c=1 d=0.00489275 t=577
chao 	超	c=2 d=0.463546 t=577
chao di 	抄底	c=1 d=0.0383884 t=577
chao gao qing 	超高清	c=1 d=0.0944202 t=577
chao guo 	超過	c=1 d=0.798516 t=577
chao ji 	超級	c=4 d=1.99754 t=577
chao ji zhi bo 	超級直播	c=1 d=0.722527 t=577
che 	車	c=1 d=1 t=390
che li 	車裏	c=2 d=1.43069 t=577
chen 	陳	c=2 d=0.412974 t=577
chen jing run 	陳景潤	c=1 d=1 t=577
cheng 	成	c=2 d=0.0112218 t=577
cheng fa 	乘法	c=3 d=0.000591915 t=577
cheng ge 	成個	c=1 d=1 t=577
cheng guan 	城管	c=1 d=1 t=577
cheng le 	成了	c=2 d=0.0428885 t=577
cheng nuo 	承諾	c=7 d=0.679176 t=577
cheng shi 	城市	c=0 d=0.0142274 t=577
cheng wei 	成爲	c=1 d=1 t=577
cheng xu 	程序	c=2 d=0.582748 t=577
cheng xu yuan 	程序員	c=2 d=0.00574181 t=577
cheng yu 	成語	c=1 d=0.965605 t=577
chi 	吃	c=4 d=0.00904991 t=577
chi dou ren 	吃豆人	c=1 d=0.579842 t=577
chi qi lai 	吃起來	c=1 d=1 t=577
chi xu 	持續	c=0 d=0.1 t=577
chi xu fan che 	持續翻車	c=1 d=1 t=577
chong 	蟲	c=1 d=0.108067 t=577
chong 	重	c=2 d=0.000990956 t=577
chong bu shang 	衝不上	c=1 d=0.786628 t=577
chong dian 	充電	c=1 d=0.970446 t=577
chong dian qi 	充電器	c=1 d=1 t=577
chong die 	重疊	c=1 d=0.97531 t=577
chong ji 	衝擊	c=1 d=0.416862 t=577
chong lian 	重連	c=1 d=0.162838 t=577
chong liang 	衝量	c=1 d=0.00036159 t=577
chong qi 	重啓	c=1 d=0.737123 t=577
chong tu 	衝突	c=2 d=0.970446 t=577
chong xin 	重新	c=2 d=0.951229 t=577
chong zhi 	充值	c=1 d=0.194952 t=577
